City,Population as of (2010  Census),State,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
Lakewood,80048,CA,462,158200,158300,158000,157700,157900,158200,158700,159400,160200,160800,161600,162600,163300,163500,163400,163200,163400,163900,164200,164700,165800,167700,169700,171200,172200,173100,174200,175000,175600,176700,178500,180000,180800,181500,182700,184100,185500,186800,187300,187800,189000,190800,192400,193800,195500,197500,199800,201900,204100,206300,208500,210000,211200,212500,214400,216700,219200,221600,224100,226300,227100,227700,229300,232100,234700,236800,238200,240100,242700,245800,249200,252500,256200,260900,265600,270400,275300,280000,285200,291000,296300,301000,305200,309000,313200,317700,322000,327100,333500,339900,345500,351400,358900,367300,375600,384900,396200,407800,419500,430800,439900,446800,453700,459300,463200,466700,470400,474400,480100,487500,496500,506000,515000,523200,531000,537300,542100,546100,549600,552600,553300,552300,551400,549600,546200,542300,538300,534900,532500,531000,530500,530200,529200,526700,521400,514500,508400,503300,498900,493800,485900,475800,464900,453600,442600,433300,423900,415400,409400,405400,401400,398200,395300,392400,389800,387200,384100,380100,377400,376900,377000,377000,378300,380300,383300,386800,389500,390200,390900,392700,394200,394200,393700,392800,390800,387300,383700,381400,379800,378500,376400,372900,369500,366000,362100,358200,354500,351200,349200,348500,348300,348900,350700,353500,356600,359500,362200,365800,369800,374900,381500,386800,391000,396700,404400,411800,418400,424400,429000,433300,437800,441500,442400,443600,445500,447300,446800,447200,449000,451400,453900,455500,454300,452400,453400,456900,460500,463800,467300,470300,473200,477200,481300,484600,487500,491600,495900,498800,501500,504800,508600,511100,513400,515700,516600,516600,519700,524200,527600,530100,533600,537800,542400,546700,549800,551500,554800,559500,563600,567300,569400,570000,570600
Lancaster,156633,CA,137,92300,91700,91100,90600,90400,90500,90300,90100,90500,90900,91000,91100,91600,92400,92700,92600,92300,91900,91300,91000,91100,91500,91800,92100,92400,92700,93500,94500,95400,96400,97400,98200,98400,98600,99100,99600,99700,100300,101600,103300,104700,105800,107900,110100,111300,112200,113100,113700,113800,113600,113600,114000,114800,115500,116500,117800,119600,121600,123700,124700,125300,125700,126300,126700,127200,127600,128000,128600,129800,131300,132800,134800,137200,139400,140700,141800,143200,145200,146800,148200,150000,152100,154800,158400,162400,165500,168000,170800,173800,176700,180000,184100,188300,192100,196200,201200,207800,216300,225800,233900,240100,245700,251400,256400,260700,264800,269000,272700,276200,279800,283600,288300,294700,302500,309800,316300,320300,322100,323400,324900,325900,327500,330500,333800,335500,335900,335600,335200,332700,329500,327500,326400,324200,321800,319100,315400,310500,305300,300800,297100,290800,282700,276200,270900,263200,254400,245600,237100,229600,223600,218500,213900,207700,200400,194400,189100,182800,176700,170700,164900,160100,155900,151100,145900,148800,158000,162000,159700,160000,159900,157900,157200,158300,158100,156700,155000,151500,147200,145400,144800,144000,143600,143200,141700,139800,139000,139300,139400,139400,138900,137600,137200,137900,138800,140600,143300,144800,145300,146400,148200,149300,149800,151100,154000,156900,160900,166400,171700,176200,179500,180800,182600,184800,185600,186000,187000,188200,189800,190700,191800,193500,195100,196800,197700,196700,195600,197100,199300,200300,200400,200700,200700,200700,201800,203900,206100,207800,209500,211900,215100,217500,219200,220700,222100,223000,224800,227900,231700,234100,235700,237900,241200,244100,247200,250200,252500,255000,258500,262400,266800,270100,272500,274200
Lawndale,32769,CA,1477,139500,137900,136200,134500,133200,132800,132800,132900,133200,133500,133400,133100,132900,133200,133800,134500,134900,135800,136600,136500,135900,135800,136300,137000,137400,137600,137600,138000,139700,142600,145200,147200,149000,151000,152100,152300,152800,153900,155600,158100,159700,158900,158000,158500,159700,161300,163600,165900,167600,168900,169400,169300,169000,169100,169900,171800,173800,175100,177000,179800,182700,185300,187300,188000,188200,189400,191000,193000,195400,198500,202500,206800,211900,217500,222400,226900,230800,233300,235500,238500,241100,242900,243700,244400,247200,252000,257600,264300,271900,279300,286500,294300,302800,312100,322000,332200,340700,348400,356400,365600,374200,381800,389600,397600,404500,411200,417800,425400,432400,437400,443800,451700,461400,473500,482100,484800,487500,490100,491700,493400,495200,497600,499700,500100,499800,499600,499300,500000,499200,498500,499900,501200,500900,499700,498800,497800,494900,489600,485500,479900,470700,459900,447100,432800,419300,407300,394900,385100,378100,372500,367200,362900,357300,350700,344600,339500,334200,328000,321800,316500,312600,311900,313100,313700,318900,326800,332800,332500,330100,329500,331400,330100,327300,324100,320100,315900,312200,310000,309500,310600,311200,310000,307600,305100,301200,295100,290600,289900,290700,290700,289700,289100,291100,294900,298200,302300,306400,309700,311500,313500,316000,317400,318200,323200,331200,339800,347800,353900,359200,364600,367500,367000,366600,369400,374100,378000,380200,380600,380500,382200,385100,388500,393100,397200,398700,400100,403400,406800,409100,410800,412800,415400,419100,423900,429100,433700,437100,439000,440100,442500,446500,450400,453600,457200,461000,463900,467400,472100,474600,474800,477000,481200,484500,487600,491700,495600,499300,503700,507700,511600,514900,517300,518400
Lomita,20256,CA,2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486600,481800,474900,471200,468000,464100,463400,463300,458500,454800,453300,451300,447300,443000,440300,440000,438000,434900,433700,435200,436800,437900,440100,443800,446800,448500,451400,457900,464300,466300,469300,476400,483700,490300,499300,508000,515500,524000,532300,536200,535400,534100,533500,535300,540400,546600,550000,552600,558600,564800,568400,569400,568700,568200,571600,574500,574300,572400,570800,572000,575200,577900,580300,583200,585500,587300,587700,591100,599000,607100,610100,610500,612700,617600,622600,628400,632400,634900,638000,641200,643700,647400,653200,658700,663700,668400,672500,677300,681500,686100,690700
Long Beach,462257,CA,33,148800,149300,149100,148400,147600,147300,147600,148100,148900,150200,151600,152400,152600,152800,153000,152900,153000,153800,155200,156800,158300,159900,161700,163200,164300,165400,166800,168000,169400,171200,173100,174200,174800,175800,176700,177600,178600,180200,181800,183400,185000,186400,187900,190100,192700,195500,198300,200900,202800,204700,207000,210000,212300,213600,214900,216500,217800,219300,221300,223400,225100,227100,229500,231600,233200,235000,237000,239100,241800,245400,248600,251900,255900,259900,263800,268800,273900,278700,283700,288500,292700,296600,300200,303900,307900,312100,315700,320400,326800,334000,339900,345500,352200,360200,369400,379400,390200,401600,413100,423600,432600,439200,444600,450800,457900,464800,471800,478700,485100,491100,497200,503900,512200,521400,530900,539400,544900,547000,548500,550200,551800,554000,556600,557500,556500,554500,551700,548800,545600,543000,541600,540600,538600,536000,532800,528700,523200,517100,511800,506800,499300,489700,480000,470900,461100,451400,442200,434800,429200,424300,419600,415700,411400,406800,402700,398900,394200,388900,384400,382000,380900,380400,380900,380900,385600,393200,397100,395300,394500,394300,394900,393700,392100,391700,391600,389300,385300,382400,380900,379600,377200,374500,371000,365500,359200,354500,351800,349900,348500,347200,346400,347500,351400,356300,359600,363400,368700,372600,374700,378700,384400,388700,392300,398400,405700,412600,420600,429200,436400,441400,443500,444100,444200,446000,449500,453400,456000,458500,460300,461800,462000,461900,463500,465500,466500,468200,471400,474500,476500,478200,480200,483300,486500,489500,492500,496800,500900,504300,507400,510800,513800,515900,518200,520900,523800,526600,530600,535700,539800,541800,544100,547700,551200,554500,558200,561000,564400,569300,574400,578600,580900,582000,583000
Los Angeles,3792621,CA,2,155000,154600,154400,154200,154100,154300,154300,154200,154800,155900,157000,157700,158200,158600,158800,158900,159100,159800,160700,161900,163400,165400,167000,168500,169900,171400,172900,174300,175800,177800,180100,182600,184400,185600,186900,188200,189600,191300,193100,194700,196300,197700,199100,200700,202300,204400,207000,209800,212300,214500,216600,219000,221100,222800,224300,226100,228100,230600,233100,235400,237300,239100,240900,242900,245000,247300,250100,253100,255900,258800,261900,265200,268600,272600,276900,281800,287000,292100,297000,302100,307600,313400,319000,324300,329600,334600,339400,344600,350600,356800,363400,370600,378300,386400,394900,404300,414700,425700,436800,447600,456800,464400,471000,477200,483300,488800,494400,501300,509700,518600,527800,536700,545700,555200,564400,571700,576400,579100,581200,583300,585300,587800,590800,593200,593900,593400,592900,592600,591100,590100,591000,592100,592000,590700,587100,582500,577900,572700,567500,562000,554100,544400,534800,524900,513600,502400,491600,481600,473100,466100,459800,454400,448000,441600,435900,430500,424100,416800,411100,408000,406200,404700,404200,402700,407100,415700,420200,417800,416900,416500,415300,412300,409800,408300,406700,405400,404000,401800,399300,397600,395200,393000,391500,389700,387600,384800,381400,378100,374800,372100,371300,372500,375000,378800,382700,386700,390300,393500,396500,401100,406000,409700,414000,421600,430500,439000,447200,454900,461300,467500,472400,476100,479100,481800,484900,489200,493000,496600,500100,504000,507900,511200,513800,515700,517700,520800,524600,527800,530700,533300,536700,540700,544000,546600,550200,554800,558300,561200,564900,569300,574600,579100,582800,586200,588900,591700,596800,603100,608100,611500,616000,621900,627200,631500,634600,636300,639300,644700,650800,657000,662100,667000,671000
Lynwood,69772,CA,591,135100,134900,134800,134500,134200,133800,133700,133800,134000,134700,135400,135700,135900,136300,136400,136400,136600,137000,136800,136500,136500,136900,137500,138000,138400,138600,138400,138000,137900,138700,139800,140600,140600,139500,138800,138800,138700,138900,139600,140200,140500,140600,140900,141200,141700,142800,144000,144900,145700,146200,147100,148600,149300,149400,149900,150900,152000,153200,154600,155700,156800,157900,158900,159900,161000,161900,162700,163600,164800,166600,168600,170400,172200,174300,176100,177300,179200,182200,184800,187200,190000,193200,196300,199500,202300,204800,207800,211600,215500,219200,223200,227100,231500,236200,241400,247300,254500,261900,268700,275700,283500,291400,299100,307200,315600,323700,331500,339500,347700,355700,363200,369800,376100,383300,391500,400100,407500,412400,416100,420100,424800,431700,441400,450900,456600,459000,460300,461300,461500,462100,463500,465500,466700,466800,466000,465000,463100,459900,455100,449100,440900,431400,421500,410100,395800,381400,367200,353400,340900,329700,318500,307600,296500,286200,276600,267200,257200,246800,236800,229300,225100,222700,221700,220900,223500,228000,231000,231500,234100,237100,240400,242500,244300,244600,244600,244300,243800,242400,241400,241400,241800,242700,243700,245400,245900,244900,243800,243600,242500,241500,241900,243300,244800,246900,248900,249200,248900,250800,253600,256900,260200,262400,263600,265900,268200,272000,277200,282300,286700,291200,293100,294400,296500,299900,304300,310300,314300,315500,315000,315700,317300,319500,323300,326700,328100,329100,330700,331300,333300,335600,337200,338400,340300,341500,342600,343500,344800,347200,350700,354600,359500,364600,369500,373700,376900,380200,384600,389000,392500,396000,400000,404300,408500,412900,417400,421400,424800,427700,430600,433300,436400,438600,439900
Malibu,12645,CA,3321,640900,623600,612900,604400,601200,599300,598500,599000,602000,602900,603300,607900,615500,619800,622700,626600,632000,638900,645000,650200,656500,661400,666500,676500,687400,694900,701300,707200,712800,722700,735000,743400,747000,746700,746400,755700,774500,793000,807300,817600,822400,822500,826700,839500,855400,867000,875200,883700,894700,907300,920100,933100,947200,960900,967700,971800,975900,980600,986900,997100,1007700,1018000,1028800,1041500,1052900,1061600,1069000,1080000,1095800,1113900,1129700,1138500,1138300,1134200,1138400,1150800,1165300,1180600,1197900,1210600,1222800,1237400,1255000,1272000,1292400,1313300,1326500,1331100,1341700,1359000,1377000,1400900,1432900,1464800,1493400,1525500,1561500,1597800,1636500,1678500,1711900,1738700,1759600,1773300,1783100,1799100,1821600,1848100,1875400,1901900,1932500,1969800,2012500,2050000,2090900,2137200,2177500,2202800,2221200,2233100,2242200,2259800,2281600,2297000,2308300,2322700,2335300,2347500,2364300,2387600,2408600,2428400,2450700,2465600,2466500,2455400,2449200,2460600,2486500,2494000,2488600,2477400,2460900,2424500,2386900,2372800,2368200,2349300,2323000,2306300,2294700,2286800,2284800,2284800,2273700,2245800,2216500,2191600,2172100,2163400,2155300,2140600,2136200,2144400,2102200,2041800,2017000,2031400,2044600,2047300,2043600,2047000,2047700,2031400,2004800,1987400,2006800,2034500,2047800,2082600,2133500,2153900,2159900,2161500,2163500,2153400,2109400,2058200,2045900,2057200,2071000,2077900,2091200,2113600,2128200,2159100,2206600,2249200,2276700,2291800,2292700,2302500,2328200,2350000,2331700,2322200,2355900,2397600,2400300,2390100,2396800,2423000,2438900,2440900,2448100,2469900,2493200,2492400,2472100,2442000,2437700,2482400,2546600,2577500,2608400,2661600,2702200,2685000,2669600,2682300,2688100,2689100,2710100,2706500,2682400,2677400,2693000,2708200,2711900,2719500,2739100,2754100,2759700,2749600,2721400,2733000,2796400,2852700,2875500,2879500,2869400,2860100,2874400,2902000,2924700,2939700,2964300,2992900,3040600,3118700,3179500,3195100,3199600
Manhattan Beach,35135,CA,1347,428000,434400,438900,442700,446000,449400,452200,454400,456200,460000,464600,469300,473800,479100,484400,490200,494100,496400,497700,501800,509400,521900,535800,546600,554400,563300,571900,579300,588100,599000,609200,614700,615500,615500,617900,621600,624000,626300,632200,639900,646900,652300,658700,667000,677000,687700,697300,703100,708600,715700,722100,728100,734100,737900,741000,747200,756800,766000,771900,775900,778500,780900,783100,786900,792300,799200,806800,816500,825800,833200,838000,840100,839400,837400,838500,845500,855100,863400,872400,881500,889300,897800,908200,918700,931200,944600,954900,960100,963700,972000,986600,1002600,1017200,1031300,1048600,1072900,1101800,1131800,1161500,1189600,1214000,1235600,1251500,1263300,1279200,1303800,1329100,1344600,1354800,1370900,1392300,1410800,1427900,1444300,1457400,1466200,1473100,1476700,1480200,1489700,1501700,1505500,1501500,1502900,1512000,1522400,1529800,1533000,1527200,1519200,1510900,1503200,1499700,1503200,1507400,1507300,1503700,1499500,1495600,1488400,1480800,1475000,1468200,1452300,1432300,1415800,1407700,1401500,1392000,1380300,1371200,1364700,1362000,1361500,1358200,1348700,1335500,1320900,1306400,1293100,1279100,1266000,1256100,1257300,1248000,1228200,1211000,1212100,1224200,1235500,1230200,1220200,1216100,1209300,1199600,1189800,1190800,1202200,1214400,1215700,1211200,1203200,1202800,1208100,1209700,1211700,1213300,1210000,1214300,1219600,1221600,1229000,1240200,1253900,1273100,1285600,1293700,1305700,1322700,1334600,1342300,1352200,1373600,1400200,1416200,1425800,1439300,1459900,1485000,1505500,1510300,1528500,1558000,1579700,1596000,1616900,1632800,1642900,1655300,1682400,1717700,1749700,1775000,1786300,1794500,1813400,1837700,1859900,1899200,1945000,1998100,2046700,2064500,2055000,2049400,2051100,2059700,2085100,2107900,2120100,2132700,2155900,2132600,2082200,2066900,2109000,2165100,2230100,2274500,2282200,2266400,2253800,2247200,2247400,2265900,2283700,2303300,2326900,2382200,2435700,2461400,2473900,2498700
Maywood,27395,CA,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254600,252400,251900,253200,252600,250500,250300,252800,254100,253300,252200,252100,252700,253700,254200,252900,250200,248300,247700,248300,249400,252700,256800,259900,262100,264600,267100,271400,276000,279500,283700,289400,295200,302200,309800,316700,321800,325000,327700,331000,333300,334800,337000,340000,342100,343900,346600,351400,356300,359200,360500,361600,361200,361000,364200,369500,374400,376900,378500,380400,382900,384500,385800,386800,387300,388000,391100,395400,398900,403100,403200,399600,399400,405200,410700,414800,416400,417000,417800,419400,421800,424500,426600,427800,429200,431400,433700,437400,440500,440700,439700
Monrovia,36590,CA,1065,166400,165500,164600,164200,164200,163900,163600,163800,164600,165600,166500,167000,167100,167400,167500,167200,167200,167500,168100,169100,170400,172100,173800,175400,176900,178000,178500,178900,179600,180600,182200,184100,185600,186800,188100,189200,190400,192700,195900,198500,200100,201700,203400,205300,207900,210800,212800,214300,215900,217600,219400,221300,224000,226200,228100,229200,230100,231700,234000,236100,237800,240100,242700,245200,247500,250400,252900,255300,258100,261300,264900,269100,273000,275900,278800,282700,287100,291600,296400,302200,308700,314600,319500,324300,329500,334500,339500,345000,350300,355700,361700,368300,374800,382000,389900,398800,407800,416300,423900,431200,438800,446200,452500,457700,462600,466800,471900,479500,489500,501100,512900,523900,532400,538300,542800,546000,547700,549000,550300,550300,550500,552900,556500,559400,561200,563600,567000,570300,571000,570700,570900,570600,568900,565500,560200,555500,551900,548800,546000,541800,533700,524500,516500,509400,501600,493300,484800,478500,473800,469700,466300,463800,460100,456400,453100,450100,446700,442600,438900,436800,434800,433100,433800,435200,441100,449400,455100,455100,455800,456500,457200,453700,452200,451400,448000,445300,447000,448300,448000,445700,440700,436300,432300,428400,426000,426300,425600,422800,421000,421000,420600,422000,424900,428400,433700,440300,442800,442300,443200,446600,449100,450900,456600,466600,476400,485000,493600,502400,511100,517200,520100,523800,527500,529100,530000,533400,537900,542700,547300,552700,556400,559100,562100,562700,560200,559400,560000,559200,560300,564500,568200,569900,571100,573000,575800,578900,581000,581900,582700,584900,589100,592000,594100,598300,602000,603800,609000,616000,620900,624300,628500,632500,635200,636800,636300,634000,634500,639400,643800,647100,650200,654300,657100
Montebello,62500,CA,783,159800,161500,163100,164100,164400,164400,164400,164300,164000,164400,165100,165400,165300,165400,165100,164800,165000,165300,165500,165800,166400,167600,169100,170300,171100,171500,171500,171600,172300,173400,174800,175900,175900,175500,175600,175800,175900,176600,177600,178300,178900,179800,180800,181900,183600,185700,187600,188700,190200,192200,194200,195600,196800,197700,198800,199400,200100,201800,204000,205800,206600,207600,209900,212400,214500,216700,218900,220900,223200,226300,229400,232300,235100,237900,239500,241700,245300,248700,251700,256000,260900,264200,267100,270800,274700,278400,281800,285000,288500,293500,299600,306200,313100,320000,326300,332500,339100,346400,355400,365200,373700,381100,387800,393600,400000,407900,416300,425500,434800,442300,448500,454900,461000,467200,475100,484800,492300,496000,499400,504700,509500,514300,521400,528800,533600,535800,535700,533500,530800,529400,530400,532600,535100,537400,538200,537100,534800,531000,526400,520900,511400,499200,486700,474100,461000,448800,436300,424700,415800,409000,402400,396400,389600,382400,375900,370000,363800,357300,352300,350300,349500,347700,345300,342400,346700,357100,363800,363100,363200,363500,362500,360000,358100,358100,359000,358800,356300,353500,351200,350000,348100,346700,344100,341400,338900,337900,337100,336100,334500,333200,333600,335000,335600,336000,337900,339600,339100,338100,338000,341200,345500,347800,350100,355500,362400,369000,377000,385900,393800,399200,403700,406300,407400,408500,409500,410200,412500,417400,422600,426000,427900,428800,429700,430900,432300,432900,434000,437800,442200,444800,446400,448400,449300,448300,448200,450100,453800,458500,464300,469900,474600,478300,478400,476600,478000,485000,492500,498500,501300,502500,504500,507900,512100,516200,519100,522600,528500,534600,538500,542000,544600,545900,546800
Monterey Park,60269,CA,751,175500,176500,177100,177700,178500,178900,179100,179300,179800,180800,182200,183400,184000,184100,183400,182000,180900,180500,180300,180400,181100,182600,183800,184300,184300,185200,186600,187400,187900,189100,190800,192400,194100,195600,196600,196500,195900,195700,196000,196100,196900,198100,199800,201500,203100,204600,206400,209200,211700,213400,214900,216900,219200,221800,223700,224900,226500,229300,232400,234900,235700,236000,236600,238000,239100,240200,241700,243300,244700,246900,250300,253000,256100,259900,264700,270900,277100,281800,285900,290800,296000,300800,305000,309100,313300,318100,322600,327300,333100,339400,345600,352100,358700,364600,369700,376500,386100,396400,407200,416500,423000,427900,433000,438400,444500,450300,455100,462400,472600,481700,488100,494200,500100,506400,515000,523200,528800,532400,536900,540400,541500,542700,546400,549900,552200,553900,553200,551200,550900,552700,553900,554100,554400,553500,549400,544500,540900,537400,532600,525900,518000,510600,503600,494200,483900,475700,468400,461200,455800,452200,449000,446100,444900,444800,443700,440900,437100,431800,428000,428000,429500,429600,429900,431600,428400,423100,423500,427700,429100,430800,433000,433100,431800,430900,431900,435000,440200,443700,443600,440900,436900,432700,428300,423200,418900,416300,414000,411200,409200,407900,405800,405300,407900,411300,414200,417200,420400,422900,423700,424200,426500,430100,434900,443700,455700,467900,478600,487800,494600,501200,506500,510900,515400,520200,524200,526900,530600,536500,542500,547100,550600,553500,555200,553800,552600,553500,553700,551200,549700,548300,546600,545200,544800,544100,544500,546800,550200,553300,556500,559700,561400,561000,561700,564300,565800,567400,571100,575900,581500,589300,596500,601500,605400,609800,613400,616700,622000,628700,635500,643700,650300,654800,658600
Norwalk,105549,CA,277,142400,142400,142100,141700,141300,141000,140600,140200,139900,140200,140800,141100,141000,140800,140300,140000,139900,139900,140100,140500,141400,142700,144000,144600,145000,145500,146300,147200,147700,148200,149100,149900,149900,149800,150300,151100,151800,152400,152800,153600,154500,155300,156200,157400,159000,161000,163000,164400,165700,167000,168100,168800,169100,168800,168900,169600,170800,172300,174300,176400,178900,181900,184500,186100,187700,190400,193100,195400,196800,198300,200300,202800,205400,208000,210700,214400,218500,222500,226400,230500,234900,239300,243400,247400,250700,252800,254800,257400,261700,267200,272900,278500,285000,291000,296600,302200,308900,317600,328300,339100,349000,356900,362600,368100,374700,381500,387300,393100,399400,406700,413900,421200,428400,435600,442700,449400,454600,457900,461600,466400,471100,474700,478500,481600,482200,481500,481800,482300,481200,480300,481000,481500,481300,479700,476000,470200,463400,456400,449800,442400,433300,423900,413500,401700,389400,377700,365500,354500,345800,338500,331400,324400,317100,310500,304300,297800,290700,283300,276900,272900,271400,271400,272200,272900,276300,280100,283400,285900,288800,290900,294600,297600,298800,297300,295700,294800,294100,292400,290700,289100,288200,287800,286300,283900,281900,281000,279700,278800,277700,277600,277900,279400,281100,283300,285500,288200,290300,291700,293400,296200,299500,302300,305900,311000,316400,322800,329500,334900,339000,342500,344800,346600,348500,351300,354300,357200,359600,361800,364000,366800,369100,371300,374200,376200,377200,378500,380300,381000,382600,384500,386700,388500,390500,393000,395800,398500,401200,403800,406900,410200,413500,415400,417800,420900,423600,424800,426800,429500,431800,433400,435400,438400,441700,444900,446700,447200,448900,453500,457700,460600,462900,465600,467500
Palmdale,152750,CA,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164300,163900,164400,163500,160600,158300,158200,157900,156800,155800,154500,152500,150500,148900,147000,146300,146700,146600,146000,146400,146900,147200,148700,150600,152600,154600,156300,158000,159300,160000,161000,164200,168800,174500,180100,185200,189700,193500,196000,197800,198300,198000,198600,200900,203800,206700,209000,211600,213700,215900,218500,220800,222000,222900,224500,226200,227600,229100,230700,232200,233300,234100,235400,237400,238400,238900,240500,242900,245400,247400,249200,250800,252100,253500,255900,259000,261400,263100,265700,269100,271600,274100,277200,280300,283300,286700,289900,293600,296900,299300,301100
Palos Verdes Estates,13438,CA,4505,590900,596300,595000,593700,592300,590200,590100,595100,602900,609900,616000,623300,629300,631600,634200,639100,644900,650300,655500,661100,668500,678400,688200,695600,699700,704000,710700,718100,726100,737800,751900,763500,768600,768200,769600,775300,782300,788500,795800,803600,811600,818100,822800,827800,835100,843000,848800,852500,858200,868500,877500,882600,886300,889400,892600,897100,902900,910700,921800,931400,934900,936200,940500,947400,952300,954400,954700,957800,963000,968900,975600,979500,977700,976500,981400,990700,1003000,1017200,1030800,1039200,1046000,1057300,1071300,1086300,1103700,1117800,1125200,1130200,1140100,1157200,1176700,1194900,1213300,1233000,1251700,1270900,1295400,1325100,1354100,1375900,1390200,1401500,1417600,1434700,1450300,1464500,1480800,1499900,1522300,1542300,1560600,1586500,1619500,1647000,1669500,1693500,1709400,1711900,1707900,1705700,1706700,1714000,1725900,1740000,1748900,1746500,1734100,1723900,1717700,1715900,1718300,1721700,1722000,1722600,1719000,1711500,1704400,1702100,1704600,1704500,1698600,1695300,1694900,1686500,1671900,1659800,1650900,1640800,1626700,1609300,1593700,1582400,1570700,1556900,1543200,1527800,1508500,1486500,1463900,1447900,1438100,1428800,1421500,1420900,1434500,1449800,1451900,1443600,1440000,1442000,1447300,1442000,1435700,1438100,1435000,1421700,1412300,1409600,1410200,1415800,1423900,1422100,1417600,1423100,1427600,1425800,1419600,1411200,1400300,1391000,1386200,1391100,1398700,1408500,1423400,1432800,1436900,1449100,1465400,1475900,1482900,1494300,1512700,1542000,1570100,1594500,1615600,1638200,1659500,1666300,1669800,1677500,1693000,1710100,1720900,1719600,1717800,1718500,1720300,1723200,1727300,1729400,1727000,1725900,1732100,1748400,1773200,1792100,1808400,1825500,1844000,1863000,1879100,1881600,1871700,1857500,1850100,1858200,1881500,1912600,1940400,1965600,1968200,1956400,1950300,1991100,2079200,2182700,2228400,2198800,2132900,2080600,2044000,2015100,2002300,1997500,1997900,2001300,2022000,2058800,2090300,2108900,2129500
